time,vehicle_id,event
2015-02-01 02:45:00+00,V19473,pickup
2015-02-01 02:46:00+00,V18130,dropoff
2015-02-01 02:46:00+00,V17606,pickup
2015-02-01 02:48:00+00,V17968,dropoff
2015-02-01 02:48:00+00,V20011,pickup
2015-02-01 02:49:00+00,V20910,pickup
2015-02-01 02:51:00+00,V19705,pickup
2015-02-01 02:52:00+00,V17010,pickup
2015-02-01 02:53:00+00,V19473,dropoff
2015-02-01 02:53:00+00,V20011,dropoff
2015-02-01 02:54:00+00,V19705,dropoff
2015-02-01 02:56:00+00,V20910,dropoff
2015-02-01 02:57:00+00,V16235,pickup
2015-02-01 02:59:00+00,V17606,dropoff
2015-02-01 03:00:00+00,V17881,pickup
2015-02-01 03:01:00+00,V17010,dropoff
2015-02-01 03:03:00+00,V16235,dropoff
2015-02-01 03:05:00+00,V16202,pickup
2015-02-01 03:05:00+00,V14589,pickup
2015-02-01 03:06:00+00,V14937,pickup
2015-02-01 03:11:00+00,V17881,dropoff
2015-02-01 03:11:00+00,V14589,dropoff
2015-02-01 03:11:00+00,V16301,pickup
2015-02-01 03:12:00+00,V19834,dropoff
2015-02-01 03:14:00+00,V14937,dropoff
2015-02-01 03:16:00+00,V16301,dropoff
2015-02-01 03:18:00+00,V16202,dropoff
2015-02-01 03:19:00+00,V14837,pickup
2015-02-01 03:21:00+00,V14631,pickup
2015-02-01 03:23:00+00,V18287,pickup
2015-02-01 03:25:00+00,V18287,dropoff
2015-02-01 03:26:00+00,V14837,dropoff
2015-02-01 03:26:00+00,V14574,pickup
2015-02-01 03:26:00+00,V16436,pickup
2015-02-01 03:27:00+00,V14631,dropoff
2015-02-01 03:28:00+00,V18573,pickup
2015-02-01 03:28:00+00,V19040,pickup
2015-02-01 03:29:00+00,V16436,dropoff
2015-02-01 03:29:00+00,V20727,pickup
2015-02-01 03:32:00+00,V20727,dropoff
2015-02-01 03:32:00+00,V21046,pickup
2015-02-01 03:33:00+00,V17284,pickup
2015-02-01 03:35:00+00,V19040,dropoff
2015-02-01 03:39:00+00,V17284,dropoff
2015-02-01 03:39:00+00,V20358,pickup
2015-02-01 03:41:00+00,V18573,dropoff
2015-02-01 03:41:00+00,V21046,dropoff
2015-02-01 03:41:00+00,V17751,pickup
2015-02-01 03:42:00+00,V15185,pickup
2015-02-01 03:43:00+00,V14574,dropoff
2015-02-01 03:44:00+00,V17751,dropoff
2015-02-01 03:44:00+00,V18968,pickup
2015-02-01 03:45:00+00,V17927,pickup
2015-02-01 03:46:00+00,V20358,dropoff
2015-02-01 03:47:00+00,V17389,pickup
2015-02-01 03:49:00+00,V15185,dropoff
2015-02-01 03:52:00+00,V18968,dropoff
2015-02-01 03:53:00+00,V17389,dropoff
2015-02-01 03:57:00+00,V18662,pickup
2015-02-01 03:57:00+00,V15290,pickup
2015-02-01 04:00:00+00,V17927,dropoff
2015-02-01 04:01:00+00,V15290,dropoff
2015-02-01 04:03:00+00,V18209,pickup
2015-02-01 04:04:00+00,V15420,pickup
2015-02-01 04:06:00+00,V20239,pickup
2015-02-01 04:07:00+00,V19756,pickup
2015-02-01 04:09:00+00,V20702,pickup
2015-02-01 04:09:00+00,V18336,pickup
2015-02-01 04:11:00+00,V18209,dropoff
2015-02-01 04:11:00+00,V19756,dropoff
2015-02-01 04:11:00+00,V18336,dropoff
2015-02-01 04:11:00+00,V20621,pickup
2015-02-01 04:13:00+00,V15420,dropoff
2015-02-01 04:15:00+00,V20621,dropoff
2015-02-01 04:16:00+00,V20702,dropoff
2015-02-01 04:20:00+00,V20239,dropoff
2015-02-01 04:20:00+00,V15691,pickup
2015-02-01 04:22:00+00,V18662,dropoff
2015-02-01 04:22:00+00,V18487,pickup
2015-02-01 04:25:00+00,V18487,dropoff
2015-02-01 04:30:00+00,V15691,dropoff
2015-02-01 04:35:00+00,V17474,pickup
2015-02-01 04:40:00+00,V17474,dropoff
2015-02-01 04:44:00+00,V14629,pickup
2015-02-01 04:49:00+00,V14629,dropoff
2015-02-01 04:52:00+00,V19067,pickup
2015-02-01 04:54:00+00,V19780,pickup
2015-02-01 04:55:00+00,V16951,pickup
2015-02-01 04:59:00+00,V19067,dropoff
2015-02-01 05:01:00+00,V14705,pickup
2015-02-01 05:02:00+00,V16951,dropoff
2015-02-01 05:10:00+00,V15049,pickup
2015-02-01 05:10:00+00,V17299,pickup
2015-02-01 05:11:00+00,V19780,dropoff
2015-02-01 05:13:00+00,V14705,dropoff
2015-02-01 05:15:00+00,V17505,pickup
2015-02-01 05:16:00+00,V17299,dropoff
2015-02-01 05:19:00+00,V17505,dropoff
2015-02-01 05:24:00+00,V17252,pickup
2015-02-01 05:28:00+00,V21506,pickup
2015-02-01 05:29:00+00,V18958,pickup
2015-02-01 05:30:00+00,V17252,dropoff
2015-02-01 05:32:00+00,V18958,dropoff
2015-02-01 05:34:00+00,V15049,dropoff
2015-02-01 05:35:00+00,V15049,pickup
2015-02-01 05:36:00+00,V21506,dropoff
2015-02-01 05:40:00+00,V17965,pickup
2015-02-01 05:42:00+00,V15196,pickup
2015-02-01 05:43:00+00,V14982,pickup
